title,publishedAt,category,views,likes,comments,duration,tags,country
How I Learned to Love Being Alone (and how you can too),2021-04-12T17:00:35Z,22,497746,27672,1750,PT8M58S,"['cole hastings', 'being alone', 'being alone motivation', 'how to be alone and happy', 'how to be alone without feeling lonely', 'how to be alone', 'learn to be alone', 'how i learned to be alone', 'how to love being single', 'how to love being alone', 'love being alone', 'alone', 'be alone', 'loving being alone', 'loving being single', 'learning to be alone and happy', 'learning to be alone after a relationship', 'self care', 'learn to be lonely', 'how to not be lonely', 'lonely when alone', 'self love']",US
Trying To Make Friends In A Brand New City,2022-02-16T16:00:00Z,22,181090,10643,649,PT10M6S,"['cole hastings', 'how to make friends in a new city', 'how to make friends', 'making friends in a new city', 'make friends when you move', 'how to make friends when you move', 'make friends', 'making friends in a brand new city', 'how do i make friends', 'make friends in college', 'make friends in a new city', 'making friends', 'i have no friends', 'no friends', 'new city no friends', 'moved to new city no friends', 'moved to new city how to make friends', 'moved to new city feeling lonely']",US
Why Everyone Feels So Fake To You,2023-04-30T16:00:25Z,22,186898,10583,749,PT12M39S,"['cole hastings', 'how to make friends', 'making friends advice', 'best advice for making friends', 'how to improve social skills', 'how to be more interesting', 'how to be more charismatic', 'making friends as an adult', 'how friends are made', 'social skills', 'social skills advice', 'social anxiety treatment', 'how to make friends in college', 'make friends', 'friendship', 'how to talk to anyone', 'social confidence', 'how to be socially magnetic', 'how to be socially confident', 'how to be socially attractive']",US
If You're Feeling Behind In Life,2021-10-04T15:00:22Z,22,95692,6988,508,PT9M36S,"['cole hastings', 'behind in life', 'feeling behind', 'feeling behind in life', 'i feel behind', 'i feel behind in life', 'i feel behind my peers', 'i feel behind everyone else', 'feeling behind in your 20s', 'feeling behind in life at 30', 'i feel behind in my career', 'feeling behind in life motivation', 'feel', 'behind', 'in', 'life', 'behind in life at 30', 'feeling behind in my', 'feeling behind in my career', 'feel behind in my life', 'im feeling behind in life', 'falling behind in life']",US
Why I Choose To Live A Boring Life,2023-06-04T16:00:31Z,22,56157,3723,292,PT12M54S,"['cole hastings', 'how to be rich', 'how to get ahead of 99 of people', 'how to get ahead in life', 'how to get rich', 'why you should be average', 'average', 'why am i average', 'npcs', 'be average', 'dont be average', 'how to stop being average', 'stop being average motivation', 'self improvement', 'peter singer', 'peter singer ordinary people are evil', 'peter singer famine affluence and morality', 'morality', 'is it important to be rich', 'self help', 'is it okay to be average', 'why being average is good']",US
From Skinny Fat To JACKED: The Complete Guide To Bulking Up And Gaining Muscle,2020-11-06T18:00:21Z,22,649899,33467,854,PT14M50S,"['cole hastings', 'bulking up and gaining muscle', 'bulk up and gain muscle', 'how to bulk up for skinny guys', 'skinny fat transformation', 'skinny fat to fit', 'skinny fat to jacked', 'skinny fat to ripped', 'how to bulk up and gain muscle', 'gaining muscle', 'bulking up', 'bulking', 'how to bulk', 'how to bulk and gain muscle', 'skinny fat', 'from skinny to muscular', 'from skinny fat to fit', 'gain weight and build muscle', 'gain weight and muscle for skinny guys', 'bulk up for skinny guys']",US
What To Do If You Have No Real Friends And Lost Faith In Humanity,2021-10-28T15:15:01Z,22,220203,12481,612,PT9M25S,"['cole hastings', 'no friends', 'i have no friends', 'why do i have no friends', 'nobody likes me', 'losing faith in humanity', 'losing hope in humanity', 'lost hope in humanity', 'lost faith in humanity', 'how to make friends', 'making friends', 'how do i make friends in high school', 'how do i make friends on discord', 'how do i make friends', 'how to make more friends', 'friends', 'why you have no friends', 'why i have no friends', 'why does nobody like me', 'making friends tips', 'real friends']",US
Suffering Is Inevitable. Here's How To Handle It,2023-04-21T16:07:36Z,22,24002,2589,42,PT53S,"['Cole hastings', 'How to get through pain', 'How to get through painful situations', 'How to handle suffering', 'How to get through suffering', 'Life is suffering', 'Self help', 'Self improvement', 'Why suffering is good for you', 'Philosophy', 'Berserk philosophy']",US
Stop Trying To Figure Your Life Out,2021-06-26T15:00:16Z,22,108953,10077,591,PT8M25S,"['cole hastings', 'how to figure out what you really want', 'how to figure out what you want to do with your life', 'figure out what to do with your life', 'figure out what to do for a career', 'figuring out what to do with your life', 'i dont know what im doing', 'what should i do with my life', 'how to figure your life out', 'figure out what you want', 'figure out what you want in life', 'figure out', 'figuring out life', 'life', 'i dont know what to do with my life', 'i dont know what i want', 'figure life out']",US
I Journaled All My Thoughts For 30 Days: Results Shocked Me,2022-07-25T16:00:21Z,22,51564,3451,136,PT12M4S,"['cole hastings', 'cole hastings journaling', 'how to journal', 'journaling ideas', 'journal prompts', 'i journaled all my thoughts', 'journaling for beginners', 'journaling for 30 days', '30 day journal challenge', 'journaling', 'journal challenge', 'i journaled for 30 days', 'i journal everyday', 'i journaled for', 'how to journal for self growth', 'how to journal for mental health', 'journaling method', 'journal method', 'journal', 'journal prompts for self discovery', 'why journaling is important', 'self improvement']",US
